ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.8499594484995945,0.8961999175970496,0.5107142857142857,0.7486910994764397,0.6072186836518046,0.5330405682140082
Decision Tree,0.8410381184103812,0.8849769121001698,0.4921135646687697,0.8167539267015707,0.6141732283464567,0.5482653432670631
kNN,0.8767234387672344,0.8330033865602798,0.7191011235955056,0.33507853403141363,0.45714285714285713,0.43493393054287843
Naive Bayes,0.6735604217356043,0.7931610575715248,0.29365853658536584,0.7879581151832461,0.42786069651741293,0.32343060816678904
Random Forest,0.8978102189781022,0.9213252806222428,0.7443609022556391,0.518324607329843,0.6111111111111112,0.5664897501460184
